ISO,Pais,Region
ALB  ,Albania  ,Europa  
AND  ,Andorra  ,Europa  
BIH  ,Bosnia y Herzegovina  ,Europa  
HRV  ,Croacia  ,Europa  
SVN  ,Eslovenia  ,Europa  
ESP  ,España  ,Europa  
GRC  ,Grecia  ,Europa  
ITA  ,Italia  ,Europa  
MKD  ,Macedonia  ,Europa  
MLT  ,Malta  ,Europa  
MNE  ,Montenegro  ,Europa  
PRT  ,Portugal  ,Europa  
SMR  ,San Marino  ,Europa  
VAT  ,Santa Sede  ,Europa  
SRB  ,Serbia  ,Europa  
DEU  ,Alemania  ,Europa  
AUT  ,Austria  ,Europa  
BEL  ,Bélgica  ,Europa  
FRA  ,Francia  ,Europa  
LIE  ,Liechtenstein  ,Europa  
LUX  ,Luxemburgo  ,Europa  
MCO  ,Mónaco  ,Europa  
NLD  ,Países Bajos  ,Europa  
CHE  ,Suiza  ,Europa  
BLR  ,Belarús  ,Europa  
BGR  ,Bulgaria  ,Europa  
HUN  ,Hungría  ,Europa  
MDA  ,Moldavia  ,Europa  
POL  ,Polonia  ,Europa  
CZE  ,República Checa  ,Europa  
SVK  ,República Eslovaca  ,Europa  
ROU  ,Rumanía  ,Europa  
RUS  ,Rusia  ,Europa  
UKR  ,Ucrania  ,Europa  
DNK  ,Dinamarca  ,Europa  
EST  ,Estonia  ,Europa  
FIN  ,Finlandia  ,Europa  
IRL  ,Irlanda  ,Europa  
ISL  ,Islandia  ,Europa  
LVA  ,Letonia  ,Europa  
LTU  ,Lituania  ,Europa  
NOR  ,Noruega  ,Europa  
GBR  ,Reino Unido  ,Europa  
SWE  ,Suecia  ,Europa  
AGO  ,Angola  ,África  
CMR  ,Camerún  ,África  
COG  ,Congo  ,África  
GAB  ,Gabón  ,África  
GNQ  ,Guinea Ecuatorial  ,África  
CAF  ,República Centroafricana  ,África  
COD  ,República Democrática del Congo  ,África  
STP  ,Santo Tomé y Príncipe  ,África  
TCD  ,Chad  ,África  
BWA  ,Botswana  ,África  
LSO  ,Lesotho  ,África  
NAM  ,Namibia  ,África  
ZAF  ,Sudáfrica  ,África  
SWZ  ,Swazilandia  ,África  
BEN  ,Benin  ,África  
BFA  ,Burkina Faso  ,África  
